"PRJ_CD","SPC","SPC_NM","ArithmeticmeanCATCNT","GeometricmeanCATCNT","SE","SD","RSE"
"LOA_IA23_NSI","314","Bluegill",42.4,17.849,15.292729090166,90.4730053987506,36
"LOA_IA23_NSF","314","Bluegill",27.714,12.875,9.78376046249677,57.8815074748665,35
"LOA_IA23_NSI","233","Brown bullhead",20.086,8.548,5.91996641890479,35.0229936475112,29
"LOA_IA23_NSK","233","Brown bullhead",19.417,5.682,9.75838060661153,58.5502836396692,50
"LOA_IA23_NSK","311","Rock bass",17.472,7.265,6.0613904464752,36.3683426788512,35
"LOA_IA23_NSI","313","Pumpkinseed",14.657,10.326,3.85055771517415,22.7802066524,26
"LOA_IA23_NSI","311","Rock bass",7.686,5.747,1.38889438440956,8.216809988466,18
"LOA_IA23_NSF","319","Black crappie",6.2,6.933,2.34029374009246,13.8453644822756,38
"LOA_IA23_NSK","314","Bluegill",5.528,3.471,1.62397030189785,9.74382181138713,29
"LOA_IA23_NSK","331","Yellow perch",4.889,5.462,1.58603918053337,9.51623508320019,33
"LOA_IA23_NSI","319","Black crappie",4.543,5.623,0.91792866673554,5.43053922760171,20
"LOA_IA23_NSF","041","Longnose gar",4.314,6.522,1.7050451230242,10.0871829815961,40
"LOA_IA23_NSF","313","Pumpkinseed",4.171,4.29,1.10953523034239,6.56409894486541,27
"LOA_IA23_NSF","311","Rock bass",3.714,3.191,0.703617816156246,4.16265913719067,19
"LOA_IA23_NSK","316","Smallmouth bass",2.278,2.848,0.652967719748465,3.91780631849079,29
"LOA_IA23_NSF","334","Walleye",2.086,2.043,0.400359982073756,2.36856159590867,19
"LOA_IA23_NSI","331","Yellow perch",2.057,2.288,0.578236753499152,3.42089476722149,28
"LOA_IA23_NSK","301","White perch",1.889,3.319,0.818222791270937,4.90933674762562,43
"LOA_IA23_NSF","186","Common carp",1.829,2.271,0.550760687534953,3.25834416885158,30
"LOA_IA23_NSK","313","Pumpkinseed",1.806,3.04,0.737670555413807,4.42602333248284,41
"LOA_IA23_NSF","331","Yellow perch",1.686,2.459,0.381882617742014,2.25924803434069,23
"LOA_IA23_NSI","317","Largemouth bass",1.686,2.041,0.521425693557156,3.08479600404218,31
"LOA_IA23_NSF","163","White sucker",1.629,1.709,0.275271338362514,1.62852719975324,17
"LOA_IA23_NSI","051","Bowfin",1.571,1.962,0.331245965342708,1.95967755879731,21
"LOA_IA23_NSF","172","Greater redhorse",1.514,2.242,0.430695018870328,2.54802609382045,28
"LOA_IA23_NSF","233","Brown bullhead",1.143,1.933,0.348207552186566,2.06002365981355,31
"LOA_IA23_NSF","317","Largemouth bass",0.971,1.817,0.267216320281397,1.58087307013104,28
"LOA_IA23_NSK","051","Bowfin",0.944,1.904,0.325977028220839,1.95586216932503,35
"LOA_IA23_NSK","334","Walleye",0.944,2.043,0.351740444629285,2.11044266777571,37
"LOA_IA23_NSK","163","White sucker",0.889,1.548,0.325570994812405,1.95342596887443,37
"LOA_IA23_NSI","131","Northern pike",0.743,1.339,0.144028808642881,0.852085922996072,19
"LOA_IA23_NSI","163","White sucker",0.743,1.425,0.17557998556935,1.03874520294375,24
"LOA_IA23_NSI","316","Smallmouth bass",0.714,1.772,0.211324071381511,1.25021006638246,29
"LOA_IA23_NSF","316","Smallmouth bass",0.686,1.308,0.216043212964322,1.27812888449411,32
"LOA_IA23_NSF","131","Northern pike",0.629,1.148,0.123572278619508,0.731063459292424,19
"LOA_IA23_NSI","063","Gizzard shad",0.629,2.569,0.414213265180656,2.45051872402696,65
"LOA_IA23_NSK","186","Common carp",0.556,1.739,0.339103496970834,2.034620981825,61
"LOA_IA23_NSK","317","Largemouth bass",0.556,1.656,0.161562039999993,0.96937223999996,29
"LOA_IA23_NSK","131","Northern pike",0.472,1.238,0.116060405120283,0.6963624307217,25
"LOA_IA23_NSK","234","Channel catfish",0.417,15,0.416666666666667,2.5,101
"LOA_IA23_NSI","041","Longnose gar",0.4,1.888,0.243227596842024,1.438953868369,60
"LOA_IA23_NSK","041","Longnose gar",0.361,2.632,0.203745786898803,1.22247472139282,55
"LOA_IA23_NSF","213","Fallfish",0.343,1.297,0.135614735713406,0.802307596244481,41
"LOA_IA23_NSK","371","Freshwater drum",0.333,1.974,0.169030850945703,1.01418510567422,51
"LOA_IA23_NSF","171","Shorthead redhorse",0.314,1.251,0.114285714285714,0.676123403782813,35
"LOA_IA23_NSF","177","Moxostoma sp.",0.314,1.476,0.204040812244081,1.20712172424443,64
"LOA_IA23_NSI","186","Common carp",0.257,1.091,0.0854337144681602,0.505432670960188,35
"LOA_IA23_NSF","168","Silver redhorse",0.229,1.201,0.101134026106423,0.598316967231676,44
"LOA_IA23_NSF","194","Golden shiner",0.229,1.682,0.130195162399088,0.770244968126615,57
"LOA_IA23_NSF","371","Freshwater drum",0.2,1,0.0685994340570035,0.405839724956714,35
"LOA_IA23_NSF","051","Bowfin",0.114,1,0.0545636406075561,0.322802851090676,44
"LOA_IA23_NSF","301","White perch",0.114,1.732,0.0895500289395443,0.529785115785224,79
"LOA_IA23_NSF","483","Tench",0.114,1.26,0.0682485395100738,0.403763804821623,61
"LOA_IA23_NSI","371","Freshwater drum",0.114,1,0.0545636406075561,0.322802851090676,44
"LOA_IA23_NSK","063","Gizzard shad",0.111,1,0.053121271525973,0.318727629155838,45
"LOA_IA23_NSK","319","Black crappie",0.111,1,0.053121271525973,0.318727629155838,45
"LOA_IA23_NSF","132","Muskellunge",0.086,1.414,0.0631315629277074,0.373491363112091,70
"LOA_IA23_NSF","234","Channel catfish",0.086,1.414,0.0631315629277074,0.373491363112091,70
"LOA_IA23_NSF","251","American eel",0.086,1,0.0480096028809603,0.284028640998691,58
"LOA_IA23_NSI","194","Golden shiner",0.086,1,0.0480096028809603,0.284028640998691,58
"LOA_IA23_NSI","334","Walleye",0.086,1.414,0.0631315629277074,0.373491363112091,70
"LOA_IA23_NSF","015","Ichthyomyzon sp.",0.057,1,0.0398074597725278,0.235504107976803,70
"LOA_IA23_NSI","168","Silver redhorse",0.057,1,0.0398074597725278,0.235504107976803,70
"LOA_IA23_NSI","232","Yellow bullhead",0.057,2,0.0571428571428571,0.338061701891407,105
"LOA_IA23_NSI","320","Lepomis sp.",0.057,2,0.0571428571428571,0.338061701891407,105
"LOA_IA23_NSK","061","Alewife",0.056,2,0.0555555555555556,0.333333333333333,107
"LOA_IA23_NSK","251","American eel",0.056,1,0.0387184473576205,0.232310684145723,71
"LOA_IA23_NSF","173","River redhorse",0.029,1,0.0285714285714286,0.169030850945703,103
"LOA_IA23_NSF","502","Esocidae hybrids",0.029,1,0.0285714285714286,0.169030850945703,103
"LOA_IA23_NSI","172","Greater redhorse",0.029,1,0.0285714285714286,0.169030850945703,103
"LOA_IA23_NSI","213","Fallfish",0.029,1,0.0285714285714286,0.169030850945703,103
"LOA_IA23_NSK","168","Silver redhorse",0.028,1,0.0277777777777778,0.166666666666667,107
"LOA_IA23_NSF","061","Alewife",0,NA,0,0,NA
"LOA_IA23_NSF","063","Gizzard shad",0,NA,0,0,NA
"LOA_IA23_NSF","232","Yellow bullhead",0,NA,0,0,NA
"LOA_IA23_NSF","320","Lepomis sp.",0,NA,0,0,NA
"LOA_IA23_NSI","015","Ichthyomyzon sp.",0,NA,0,0,NA
"LOA_IA23_NSI","061","Alewife",0,NA,0,0,NA
"LOA_IA23_NSI","132","Muskellunge",0,NA,0,0,NA
"LOA_IA23_NSI","171","Shorthead redhorse",0,NA,0,0,NA
"LOA_IA23_NSI","173","River redhorse",0,NA,0,0,NA
"LOA_IA23_NSI","177","Moxostoma sp.",0,NA,0,0,NA
"LOA_IA23_NSI","234","Channel catfish",0,NA,0,0,NA
"LOA_IA23_NSI","251","American eel",0,NA,0,0,NA
"LOA_IA23_NSI","301","White perch",0,NA,0,0,NA
"LOA_IA23_NSI","483","Tench",0,NA,0,0,NA
"LOA_IA23_NSI","502","Esocidae hybrids",0,NA,0,0,NA
"LOA_IA23_NSK","015","Ichthyomyzon sp.",0,NA,0,0,NA
"LOA_IA23_NSK","132","Muskellunge",0,NA,0,0,NA
"LOA_IA23_NSK","171","Shorthead redhorse",0,NA,0,0,NA
"LOA_IA23_NSK","172","Greater redhorse",0,NA,0,0,NA
"LOA_IA23_NSK","173","River redhorse",0,NA,0,0,NA
"LOA_IA23_NSK","177","Moxostoma sp.",0,NA,0,0,NA
"LOA_IA23_NSK","194","Golden shiner",0,NA,0,0,NA
"LOA_IA23_NSK","213","Fallfish",0,NA,0,0,NA
"LOA_IA23_NSK","232","Yellow bullhead",0,NA,0,0,NA
"LOA_IA23_NSK","320","Lepomis sp.",0,NA,0,0,NA
"LOA_IA23_NSK","483","Tench",0,NA,0,0,NA
"LOA_IA23_NSK","502","Esocidae hybrids",0,NA,0,0,NA
